TANK	DATES	FLUCT	PRED	Cer_ug	Sca_ug	Dapp_ug	Clad_ug	e_chl	i_chl
8	2005-05-25	150	1	0.022	3.896814559	0.903	0.717721854	83.26	3.13
8	2005-05-30	150	1	0.866161426	6.891983787	0.903	1.167569579	69.25	0.005
8	2005-06-03	150	1	1.777216926	63.45676544	0.903	1.628923415	87.63	6.09
8	2005-06-08	150	1	23.50786671	774.5806509	29.2621571	38.78531638	3.47	0.55
8	2005-06-13	150	1	108.3904715	4.618841961	63.58570155	135.8721122	0.99	0.005
8	2005-06-17	150	1	113.7060061	10.07322357	45.00787325	78.42494782	1.03	0.13
8	2005-06-22	150	1	112.6854014	31.68598031	53.87290786	62.44404659	0.83	0.005
8	2005-06-27	150	1	134.9547801	53.42739275	53.73717732	102.2998062	0.83	0.005
8	2005-07-01	150	1	254.7124694	46.7372817	153.4883101	811.8304324	1.32	0.07
8	2005-07-06	150	1	154.8579468	94.26783163	267.0106701	309.3902382	1.35	0.09
8	2005-07-11	150	1	0.022	0.0284	0.903	0.0339	1.01	0.32
8	2005-07-15	150	1	125.5509426	90.59804156	449.054061	475.9147502	1.04	0.04
8	2005-07-20	150	1	66.41969328	71.504809	215.6099298	246.6014597	1.18	0.01
8	2005-07-25	150	1	19.68406841	31.52795845	49.28065068	169.8470527	1.11	0.06
8	2005-07-29	150	1	21.12067879	22.82623138	31.86297815	165.0913075	1.31	0.12
8	2005-08-03	150	1	39.60040915	18.29864685	0.903	96.66589318	1.1	0.12
8	2005-08-08	150	1	20.42872162	20.00133052	0.903	58.84732145	1.57	0.15
8	2005-08-12	150	1	28.10266624	11.91746817	17.41767253	265.5042505	2.43	0.005
8	2005-08-17	150	1	71.88602628	34.6804908	76.15025121	221.9920236	1.86	0.25
8	2005-08-22	150	1	39.47768598	31.57826195	2.362981998	320.5879675	2.22	0.005
8	2005-08-26	150	1	63.21123802	35.13453978	0.903	318.3035556	2.07	0.35
8	2005-08-31	150	1	89.81142382	40.81594587	19.91436134	506.9776529	1.72	0.11
8	2005-09-05	150	1	53.86841068	40.50701351	10.83397921	314.3215787	1.78	0.11
8	2005-09-09	150	1	67.82995565	49.48606857	5.097509861	228.8883497	1.64	0.18
8	2005-09-14	150	1	84.80720557	53.21906739	75.94198674	268.6179511	2.22	0.13
8	2005-09-19	150	1	79.44261977	31.65727288	19.17126962	94.81976681	2.28	0.8
15	2005-05-25	150	1	0.022	12.01517822	0.903	0.478481236	133.18	23.6
15	2005-05-30	150	1	0.022	7.727523433	3.611326405	3.764836668	99.71	5.32
15	2005-06-03	150	1	0.45552775	22.5331012	0.903	0.153510263	138.93	25.8
15	2005-06-08	150	1	0.022	208.1403597	11.94861681	12.97738106	89.53	1.52
15	2005-06-13	150	1	9.393093459	231.0743094	54.84227492	79.42268821	1.66	0.11
15	2005-06-17	150	1	23.16188812	57.27074489	107.418756	205.7418429	0.98	0.3
15	2005-06-22	150	1	41.1399817	234.5428855	115.5032958	144.9945378	0.81	0.05
15	2005-06-27	150	1	59.13124928	154.0447987	414.3370143	418.2956724	0.81	0.05
15	2005-07-01	150	1	40.87061725	83.42227716	132.2370258	134.6799153	1.24	0.1
15	2005-07-06	150	1	42.87889155	63.17588177	186.2616482	239.5433736	1.22	0.04
15	2005-07-11	150	1	0.022	0.0284	0.903	0.0339	1.08	0.14
15	2005-07-15	150	1	56.56448507	68.90693262	408.2739821	470.5452943	1.16	0.07
15	2005-07-20	150	1	18.24745802	15.196418	164.1000039	254.2948274	1.29	0.005
15	2005-07-25	150	1	64.57123426	53.44609188	267.4464184	437.2000969	1.05	0.1
15	2005-07-29	150	1	41.93490103	33.89881034	36.32152852	184.4814746	1.4	0.16
15	2005-08-03	150	1	164.7658511	45.52604527	96.12376171	183.3425498	1.31	0.12
15	2005-08-08	150	1	109.6858126	48.57797062	79.65744538	140.8325841	1.7	0.08
15	2005-08-12	150	1	435.9851415	33.77239285	79.65744538	204.7428497	1.81	0.04
15	2005-08-17	150	1	796.8255352	64.16522886	531.9204699	768.8020178	2.61	0.86
15	2005-08-22	150	1	397.7208104	25.5879235	234.3055213	439.3260625	3.01	0.71
15	2005-08-26	150	1	410.1559569	44.14519921	331.7521851	539.6506579	2.84	0.38
15	2005-08-31	150	1	250.6134224	37.05134268	420.9798568	613.1313674	3.43	0.39
15	2005-09-05	150	1	325.3750993	27.11388617	661.3933933	906.4305984	4.34	0.72
15	2005-09-09	150	1	232.8544271	42.56893304	1093.846189	1363.771236	3.45	0.56
15	2005-09-14	150	1	65.88096439	36.20645348	2078.074666	2296.946069	4.33	0.3
15	2005-09-19	150	1	58.20701977	35.62019313	1080.307256	1187.583359	5.14	44.63
55	2005-05-25	150	1	0.821267351	83.63349947	3.611326405	4.011344668	104.56	11.49
55	2005-05-30	150	1	0.044894075	103.5348817	3.611326405	4.359111007	106.64	16.55
55	2005-06-03	150	1	1.642534702	867.1492274	43.97285263	55.4515049	67.55	1.44
55	2005-06-08	150	1	21.14702681	3165.014086	59.10227444	284.2960205	1.47	0.32
55	2005-06-13	150	1	14.11477325	1.980011652	328.6307028	381.4877406	1.56	0.34
55	2005-06-17	150	1	40.85744324	0.454048977	660.4420371	874.9260968	1.61	1.01
55	2005-06-22	150	1	132.8393866	35.58858875	370.765311	571.1662948	1.18	0.11
55	2005-06-27	150	1	104.7103723	62.02140146	135.9524844	188.0732026	1.18	0.11
55	2005-07-01	150	1	126.1638557	123.2753452	310.5740708	378.1037505	1.77	0.21
55	2005-07-06	150	1	0.022	0.0284	0.903	0.0339	2.02	0.37
55	2005-07-11	150	1	0.022	0.0284	0.903	0.0339	1.41	0.08
55	2005-07-15	150	1	689.0408777	69.3609816	92.61656754	230.9117302	1.67	0.08
55	2005-07-20	150	1	871.4627619	79.75248709	442.2762693	578.8338761	2.11	0.09
55	2005-07-25	150	1	852.8727796	79.75248709	262.9878681	381.2234533	1.5	0.09
55	2005-07-29	150	1	450.9738781	48.57797062	31.86297815	92.82777382	2.68	0.19
55	2005-08-03	150	1	1032.124706	73.64863639	300.79558	383.8268845	1.95	0.65
55	2005-08-08	150	1	448.3973942	32.08261443	251.9314583	350.5963355	2.89	0.04
55	2005-08-12	150	1	742.0041171	39.09456308	454.9987948	587.1422056	3.09	0.8
55	2005-08-17	150	1	523.245405	59.87757406	892.1633882	953.6595882	4.17	0.88
55	2005-08-22	150	1	148.1609278	35.36156427	1079.327568	1292.37534	4.41	0.46
55	2005-08-26	150	1	65.70138809	29.32092231	1255.317039	1434.771821	4.75	0.58
55	2005-08-31	150	1	16.42534702	34.71209517	524.207973	666.2103363	4.17	1.35
55	2005-09-05	150	1	0.022	13.80911932	67.54554717	139.513472	3.59	0.55
55	2005-09-09	150	1	0.9110555	18.29864685	310.1433758	391.7318135	3.62	6.95
55	2005-09-14	150	1	1.822111	11.83556029	390.5439129	452.089985	5.49	9.12
55	2005-09-19	150	1	1.642534702	10.84555447	654.9138322	799.4545326	4.38	18.02
64	2005-05-25	150	1	0.022	0.324734547	0.903	0.0339	50.31	10.65
64	2005-05-30	150	1	0.022	0.170268366	0.903	0.0339	38.91	9.86
64	2005-06-03	150	1	0.022	0.0284	0.903	0.0339	98.66	11.7
64	2005-06-08	150	1	0.022	1.25798425	0.903	0.0339	19.55	9.99
64	2005-06-13	150	1	0.022	5.779116153	1.805663202	0.067779909	35.8	23.06
64	2005-06-17	150	1	0.022	0.706225215	0.903	0.0339	24.24	2.85
64	2005-06-22	150	1	0.044894075	0.97420364	0.903	0.271119635	41.32	0.92
64	2005-06-27	150	1	0.022	5.195752746	0.903	0.271119635	41.32	0.92
64	2005-07-01	150	1	6.570138809	100.5354981	0.903	0.0339	8.72	9.22
64	2005-07-06	150	1	6.570138809	426.0517251	0.903	1.084478538	12.98	2.96
64	2005-07-11	150	1	26.28055524	1566.496277	0.903	4.337914153	27.28	1.15
64	2005-07-15	150	1	5.74644154	2363.009808	0.903	17.35165661	11.38	0.39
64	2005-07-20	150	1	0.022	1130.20264	0.903	21.68957076	8.77	0.06
64	2005-07-25	150	1	0.022	259.7902722	0.903	51.7838502	22.88	0.8
64	2005-07-29	150	1	0.718305193	217.5663523	0.903	133.3908602	73.03	18.13
64	2005-08-03	150	1	6.570138809	216.6582544	0.903	107.3633753	36.33	10
64	2005-08-08	150	1	0.359152596	85.32749231	14.44530562	51.51273056	36.82	7.55
64	2005-08-12	150	1	3.644222001	119.7693709	0.903	93.26515428	51.58	1.8
64	2005-08-17	150	1	0.359152596	211.7954031	0.903	228.5123876	53.08	4.68
64	2005-08-22	150	1	0.022	164.2092797	1010.906465	108.9900931	14.99	0.53
64	2005-08-26	150	1	3.464645703	29.67436429	287.3016306	57.47736252	3.12	0.79
64	2005-08-31	150	1	0.022	33.38155261	277.1066109	10.03142648	2.9	56.86
64	2005-09-05	150	1	0.089788149	17.09452178	213.2765224	1.626717807	1.49	0.94
64	2005-09-09	150	1	0.022	4.253153478	27.66475837	3.117875797	13.25	2159.42
64	2005-09-14	150	1	0.821267351	8.701727073	55.25495908	5.015713239	18.47	1209.53
64	2005-09-19	150	1	0.022	5.28411324	35.7937843	2.846756163	8.5	194.95
89	2005-05-25	150	2.718281828	0.022	0.649469093	1.805663202	1.873443111	28.04	12.9
89	2005-05-30	150	2.718281828	0.022	2.500166315	3.982872269	3.982872269	18.49	0.005
89	2005-06-03	150	2.718281828	0.022	9.64432634	3.797099337	3.864879245	45.67	1.8
89	2005-06-08	150	2.718281828	0.022	30.97330248	307.8407854	308.9252639	28.28	0.8
89	2005-06-13	150	2.718281828	0.022	6.475991805	428.6190385	431.8724741	3.25	0.17
89	2005-06-17	150	2.718281828	0.022	1.525962675	419.0038291	420.4949871	3.74	0.02
89	2005-06-22	150	2.718281828	0.022	0.0284	0.903	0.0339	2.37	0.33
89	2005-06-27	150	2.718281828	4.330807128	0.056756122	115.2654567	117.3666339	2.37	0.33
89	2005-07-01	150	2.718281828	0.821267351	1.525962675	262.557173	263.9127712	3.73	0.27
89	2005-07-06	150	2.718281828	0.821267351	0.0284	246.6565009	256.5523676	7.38	0.64
89	2005-07-11	150	2.718281828	5.107180405	0.0284	105.5756897	151.3949079	3.39	0.02
89	2005-07-15	150	2.718281828	1.36658325	0.113512244	14.09625129	20.87424216	21.68	3.04
89	2005-07-20	150	2.718281828	8.36590179	0.0284	0.903	220.1491433	15.98	1.25
89	2005-07-25	150	2.718281828	25.50955401	0.0284	0.903	167.0096949	27.98	0.38
89	2005-07-29	150	2.718281828	49.06525691	0.908097954	0.903	131.2219031	17.63	1.71
89	2005-08-03	150	2.718281828	108.8621154	0.0284	0.903	22.23181003	3.71	0.005
89	2005-08-08	150	2.718281828	399.9284221	0.0284	0.903	0.542239269	2.55	0.68
89	2005-08-12	150	2.718281828	36.66131833	0.649469093	7.22265281	8.036011713	3.27	0.12
89	2005-08-17	150	2.718281828	339.209383	0.0284	0.903	10.30254611	2.32	0.39
89	2005-08-22	150	2.718281828	434.7544554	1.298938186	0.903	4.609033787	2.59	0.32
89	2005-08-26	150	2.718281828	538.4400659	0.0284	0.903	2.440076711	2.14	52.69
89	2005-08-31	150	2.718281828	352.9126886	0.0284	7.22265281	19.96527563	50.67	5581.7
89	2005-09-05	150	2.718281828	502.9962597	0.0284	0.903	12.74262282	5	82.83
89	2005-09-09	150	2.718281828	67.26487874	1.980011652	0.903	1.626717807	37.67	3041.1
89	2005-09-14	150	2.718281828	427.5138476	0.0284	14.44530562	18.78321977	75.66	1709.8
89	2005-09-19	150	2.718281828	91.8106812	0.0284	0.903	3.253435615	9.06	534.89
94	2005-05-25	150	1	0.022	22.52019596	0.903	0.153510263	103.78	4.67
94	2005-05-30	150	1	0.022	111.5139227	0.903	0.221290172	114.99	24.34
94	2005-06-03	150	1	0.089788149	454.4929949	10.83397921	11.00543992	51.92	8.35
94	2005-06-08	150	1	1.642534702	1204.118873	30.58505916	51.24621824	1.06	0.15
94	2005-06-13	150	1	14.12794726	144.9148331	9.080382129	22.99655673	0.89	0.01
